TIME_PERIOD,GINI,THEIL,ASSET,COUNTRY
2017-10-01,0.672688427006533,0.9055563586995637,NWA,EE
2018-01-01,0.6702636254988358,0.898617510918646,NWA,EE
2018-04-01,0.6678865195950305,0.8912069898653079,NWA,EE
2018-07-01,0.6697912807520316,0.8980471240551646,NWA,EE
2018-10-01,0.664217467319379,0.8805163723145771,NWA,EE
2019-01-01,0.6617768195184397,0.8728242622388174,NWA,EE
2019-04-01,0.6628524916381253,0.8772817145409401,NWA,EE
2019-07-01,0.6626547171586615,0.877061881829872,NWA,EE
2019-10-01,0.6601964278226837,0.8698705049554951,NWA,EE
2020-01-01,0.6610776385293071,0.8726894037844068,NWA,EE
2020-04-01,0.6640217653973088,0.8831265941542455,NWA,EE
2020-07-01,0.6705161003621412,0.9056062139572416,NWA,EE
2020-10-01,0.6667996523353903,0.8946739572972637,NWA,EE
2021-01-01,0.6493961582533689,0.8474381112632057,NWA,EE
2021-04-01,0.6444577033268554,0.8318359335672121,NWA,EE
2021-07-01,0.6493657942548364,0.8468028738027827,NWA,EE
2021-10-01,0.648937106967817,0.8471850742178658,NWA,EE
2022-01-01,0.6486431210208559,0.8459326254460472,NWA,EE
2022-04-01,0.6459544781499689,0.8359423703309999,NWA,EE
2022-07-01,0.6471744385780769,0.8396988229491322,NWA,EE
2022-10-01,0.6451073213636682,0.832551836849556,NWA,EE
2023-01-01,0.6442297409704624,0.830620250224907,NWA,EE
2023-04-01,0.6404775879204043,0.8179569147793706,NWA,EE
2023-07-01,0.6427687459008642,0.8258126080690134,NWA,EE
2023-10-01,0.6393269141894387,0.8145379788384516,NWA,EE
2024-01-01,0.6384764510120349,0.8126898314091253,NWA,EE
2024-04-01,0.6370541512910224,0.807841574086873,NWA,EE
2024-07-01,0.6365390054461009,0.805590614015809,NWA,EE
2011-10-01,0.5724052590649595,0.620911751607135,NWA,ES
2012-01-01,0.5814287016103605,0.6420392617179147,NWA,ES
2012-04-01,0.5869047559766813,0.6540244135525053,NWA,ES
2012-07-01,0.5953122894860468,0.6747835753966275,NWA,ES
2012-10-01,0.5996582783072582,0.6861775933825596,NWA,ES
2013-01-01,0.6121935656840474,0.7182535519116996,NWA,ES
2013-04-01,0.6147909532506775,0.7248204181188574,NWA,ES
2013-07-01,0.6167981862088716,0.7314008151793842,NWA,ES
2013-10-01,0.6214700153765189,0.7448382372521948,NWA,ES
2014-01-01,0.625926287461857,0.7576416479891473,NWA,ES
2014-04-01,0.6284330441802586,0.7647338056533793,NWA,ES
2014-07-01,0.6307393510021355,0.7712037511222591,NWA,ES
2014-10-01,0.6323485345434876,0.7746858874846824,NWA,ES
2015-01-01,0.6363075606173811,0.7873527427532907,NWA,ES
2015-04-01,0.6316591183856066,0.7741774910921017,NWA,ES
2015-07-01,0.6295092636511588,0.7676348939176932,NWA,ES
2015-10-01,0.6349685586736825,0.7854170326205362,NWA,ES
2016-01-01,0.6328315566208037,0.7784647672789754,NWA,ES
2016-04-01,0.6316324740435866,0.7744180375304931,NWA,ES
2016-07-01,0.6325860944496893,0.777333401173484,NWA,ES
2016-10-01,0.6328990393191041,0.7779492247472014,NWA,ES
2017-01-01,0.6343275877020214,0.7828055792813615,NWA,ES
2017-04-01,0.6342452005421846,0.7820710590251969,NWA,ES
2017-07-01,0.6334175328174421,0.77955381698429,NWA,ES
2017-10-01,0.6338434879684391,0.7803059770850095,NWA,ES
2018-01-01,0.6328551626806868,0.7775328569172245,NWA,ES
2018-04-01,0.6319911991556639,0.7752983196085821,NWA,ES
2018-07-01,0.6304631358892611,0.771048284602759,NWA,ES
2018-10-01,0.628761365548183,0.7660168215006856,NWA,ES
2019-01-01,0.6298336276927621,0.7698225826656168,NWA,ES
2019-04-01,0.6295917222175884,0.76902946272486,NWA,ES
2019-07-01,0.6286673527939404,0.766727507795628,NWA,ES
2019-10-01,0.6295397111554619,0.7695794603217561,NWA,ES
2020-01-01,0.6275350102642183,0.7632239666770794,NWA,ES
2020-04-01,0.628942590432401,0.7674828416194523,NWA,ES
2020-07-01,0.6287620067001085,0.7673016432707521,NWA,ES
2020-10-01,0.6307173797162061,0.7733375216686054,NWA,ES
2021-01-01,0.6314933958038412,0.7760290745951225,NWA,ES
2021-04-01,0.6313087796061645,0.7755307137143248,NWA,ES
2021-07-01,0.6294736889744452,0.7702110335178373,NWA,ES
2021-10-01,0.6290799706416623,0.7695388849898589,NWA,ES
2022-01-01,0.626185650422781,0.7607192096262786,NWA,ES
2022-04-01,0.6246962963502347,0.7558099415277754,NWA,ES
2022-07-01,0.6221118728858135,0.7484888801422319,NWA,ES
2022-10-01,0.6242748718364012,0.7552289953031546,NWA,ES
2023-01-01,0.6262077704792486,0.7620317301636766,NWA,ES
2023-04-01,0.6261403895749675,0.7620931117727361,NWA,ES
2023-07-01,0.6235426573016067,0.7547536642051806,NWA,ES
2023-10-01,0.625466677344871,0.7610417418009703,NWA,ES
2024-01-01,0.6250666452261402,0.7603636398803753,NWA,ES
2024-04-01,0.6234980655783826,0.7556995419741603,NWA,ES
2024-07-01,0.6228855564628681,0.7546486047558344,NWA,ES
2009-10-01,0.6572159009443627,0.83513905577414,NWA,FI
2010-01-01,0.6578349247584445,0.8373093949530712,NWA,FI
2010-04-01,0.6581898180763257,0.83747293866633,NWA,FI
2010-07-01,0.6620591408363786,0.8505574602429523,NWA,FI
2010-10-01,0.6639803206172472,0.8564576160730921,NWA,FI
2011-01-01,0.6623411099707893,0.8508850538885327,NWA,FI
2011-04-01,0.6596862758610514,0.8417569119877124,NWA,FI
2011-07-01,0.658753484414772,0.8375902027070337,NWA,FI
2011-10-01,0.659565498732746,0.8398122392063389,NWA,FI
2012-01-01,0.6590824439562419,0.8390329198612685,NWA,FI
2012-04-01,0.657525837629485,0.8334361907383631,NWA,FI
2012-07-01,0.65751577600409306,0.832739373986568,NWA,FI
2012-10-01,0.6580119718442557,0.8346053533211335,NWA,FI
2013-01-01,0.6593126056515868,0.839498438182862,NWA,FI
2013-04-01,0.658724209170922,0.8375988556004658,NWA,FI
2013-07-01,0.6599309685410332,0.8417881557848861,NWA,FI
2013-10-01,0.6602493978946965,0.8428005879326779,NWA,FI
2014-01-01,0.6618360844846398,0.8478593602877864,NWA,FI
2014-04-01,0.6631817181820368,0.8521521995461646,NWA,FI
