REF_AREA,TIME_PERIOD,HP_R_N
EE,2022-10-01,187.3057
EE,2023-01-01,184.4707
EE,2023-04-01,186.2542
EE,2023-07-01,185.4199
EE,2023-10-01,189.929
EE,2024-01-01,190.7585
EE,2024-04-01,193.422
EE,2024-07-01,191.2007
EE,2024-10-01,189.332
ES,2000-01-01,59.2992
ES,2000-04-01,60.3938
ES,2000-07-01,60.4706
ES,2000-10-01,60.0285
ES,2001-01-01,62.0726
ES,2001-04-01,63.3982
ES,2001-07-01,64.2989
ES,2001-10-01,64.9258
ES,2002-01-01,68.5006
ES,2002-04-01,71.1724
ES,2002-07-01,73.02
ES,2002-10-01,73.284
ES,2003-01-01,77.1916
ES,2003-04-01,81.1514
ES,2003-07-01,83.4947
ES,2003-10-01,84.5636
ES,2004-01-01,89.4175
ES,2004-04-01,92.3776
ES,2004-07-01,94.4002
ES,2004-10-01,95.8513
ES,2005-01-01,100.2126
ES,2005-04-01,101.9431
ES,2005-07-01,103.5212
ES,2005-10-01,104.3454
ES,2006-01-01,105.26
ES,2006-04-01,107.4006
ES,2006-07-01,111.2361
ES,2006-10-01,113.4087
ES,2007-01-01,116.2594
ES,2007-04-01,117.0491
ES,2007-07-01,118.6859
ES,2007-10-01,115.3087
ES,2008-01-01,114.5481
ES,2008-04-01,111.5936
ES,2008-07-01,109.8453
ES,2008-10-01,106.6655
ES,2009-01-01,105.5597
ES,2009-04-01,103.8245
ES,2009-07-01,103.317
ES,2009-10-01,101.8545
ES,2010-01-01,101.306
ES,2010-04-01,101.2193
ES,2010-07-01,99.6126
ES,2010-10-01,97.9162
ES,2011-01-01,94.4117
ES,2011-04-01,91.7022
ES,2011-07-01,88.8539
ES,2011-10-01,83.1478
ES,2012-01-01,79.4662
ES,2012-04-01,75.5807
ES,2012-07-01,72.5438
ES,2012-10-01,70.373
ES,2013-01-01,67.5136
ES,2013-04-01,66.4184
ES,2013-07-01,67.0733
ES,2013-10-01,65.8622
ES,2014-01-01,66.4244
ES,2014-04-01,66.8253
ES,2014-07-01,67.4829
ES,2014-10-01,67.3601
ES,2015-01-01,68.1443
ES,2015-04-01,69.6883
ES,2015-07-01,70.8008
ES,2015-10-01,70.4493
ES,2016-01-01,72.9028
ES,2016-04-01,73.0648
ES,2016-07-01,73.78
ES,2016-10-01,72.8481
ES,2017-01-01,74.7271
ES,2017-04-01,75.6353
ES,2017-07-01,77.4133
ES,2017-10-01,76.9739
ES,2018-01-01,78.6458
ES,2018-04-01,79.3512
ES,2018-07-01,81.1454
ES,2018-10-01,80.739
ES,2019-01-01,83.1197
ES,2019-04-01,82.8779
ES,2019-07-01,84.7735
ES,2019-10-01,83.3549
