REF_AREA,TIME_PERIOD,B50,D06,D07,D08,D09,D10,ALL,B50_share,M40_share,T10_share,B50_share_change,M40_share_change,T10_share_change,HP_R_N,Stock_Price,HP_R_Change,STOCK_Change,owner_ALL
AT,2016-10-01,44128.09,50358.79999999999,81432.46,118502.77,179630.44,797708,1271760.56,0.034698426250928865,0.33805457058677774,0.6272470031622933,0.02310952492144347,-0.00983329855871351,0.004070339601056849,126.212,3090.9747656249983,-0.0061350733721576844,0.037974393352312674,47.61
AT,2017-01-01,44921.91,50370.85,81546.04000000001,118865.29,179492.50999999998,812681.38,1287877.98,0.034880563762725414,0.334095851223421,0.6310235850138536,0.005235428907166995,-0.011779402374567205,0.006002831549085541,127.2065,3342.4348307692308,0.007848717479511436,0.07821303335756014,47.61
AT,2017-04-01,46483.71000000001,51969.869999999995,83531.04000000001,121862.72,183900.79,828062.39,1315810.52,0.03532705453669728,0.335355595120185,0.6293173503431178,0.012719326029203337,0.0037635153096367002,-0.002707578029458535,129.9271,3551.5675714285717,0.021161773705583364,0.060689542788912476,47.61
AT,2017-07-01,46335.2,52017.87,83284.78,121049.32,183314.50000000003,831304.86,1317306.53,0.03517419745881013,0.33376170237309916,0.6310641001680907,-0.004336300791297987,-0.004764174436436619,0.002771781419962538,129.8126,3479.880061538461,-8.816519570693515e-4,-0.020391247323445327,47.61
AT,2017-10-01,46566.64999999999,52484.37000000001,83147.79999999999,121778.07000000002,184345.93,853256.67,1341579.49,0.03471031746318661,0.32928065261343553,0.6360090299233779,-0.013275811079147548,-0.013516837805515047,0.007805318797821426,129.258,3594.989507936509,-0.0042814649535287685,0.032543244535881755,47.61
AT,2018-01-01,48324.83000000001,54196.649999999994,85277.45999999999,124795.45,188837.01,867647.0700000001,1369078.4700000002,0.03529734128387835,0.33095734096234813,0.6337453177537734,0.016770667374478965,0.0050790532191598015,-0.0035655945136902067,134.0595,3473.9999841269832,0.03647332422523064,-0.03423440940335176,47.61
AT,2018-04-01,49181.76,54730.47,85506.36000000002,124952.14999999998,189723.45,871239.22,1375333.41,0.03575988167116511,0.33076519969074264,0.6334749186380922,0.013018997962375156,-5.807306392064948e-4,-4.267594724574608e-4,133.7194,3481.3044375,-0.0025401566954803556,0.002100398664278913,47.61
AT,2018-07-01,48725.66,55440.09,86065.85999999999,126420.44,191439.13000000003,880419.2100000001,1388510.3900000001,0.03509203845424592,0.33083333283519756,0.6340746287105565,-0.018852361250089267,2.0596522315607935e-4,9.46251163856493e-4,137.226,3422.939846153847,0.0258856271571819,-0.016907275949085587,47.61
AT,2018-10-01,49559.28,55747.99,85980.94,126518.16,191004.21,881723.56,1390534.1400000001,0.035640462592310025,0.33026970484881435,0.6340898325588755,0.015507302022729874,-0.0017051143038642191,2.3977723369539294e-5,135.9873,3169.1323281250006,-0.00906770268856949,-0.0770419490674481,47.61
AT,2019-01-01,50587.33,57076.19999999999,87114.9,128069.52,194021.36,897188.42,1414057.73,0.03577458609133306,0.32974748492057676,0.6344779289880902,0.003756173500939486,-0.0015824437463378693,6.118655275447749e-4,138.2831,3212.726603174604,0.016741534061177177,0.013662148789268969,47.61
AT,2019-04-01,51982.89,58287.62,88378.18,129979.43,196783.25,910468.92,1435880.29,0.03620280211520976,0.329713057068288,0.6340841408165022,0.011898766731978316,-1.0441216760659344e-4,-6.208418076023015e-4,138.8249,3415.2197460317457,0.003910393712174276,0.06112185256637481,47.61
AT,2019-07-01,51878.25000000001,58302.19,88083.62000000001,129559.43,196639.65,908960.91,1433424.05,0.03619183730034389,0.32968952209222385,0.6341186406074323,-3.02917869008823e-4,-7.138272375017962e-5,5.440737308565202e-5,138.4329,3459.1172727272724,-0.0028276950996373174,0.01277159477765899,47.61
AT,2019-10-01,53215.43,59414.25,88955.28,130577.05000000002,198810.95999999996,916892.53,1447865.5,0.03675440156561504,0.3299737026678238,0.6332718957665612,0.015424384515363876,8.615929538386968e-4,-0.0013362021295783566,138.3018,3649.074359375,-9.474779260241206e-4,0.05346010223033382,47.61
AT,2020-01-01,53567.64,60412.04,89395.93999999999,131970.87,199954.45,909066.81,1444367.75,0.037087258421548114,0.3335253781455588,0.629387363432893,0.009015482872640757,0.010705996449161814,-0.006152957831970396,140.3019,3429.8705781250005,0.014358275655443009,-0.061951007120311985,47.61
AT,2020-04-01,56263.509999999995,62654.720000000016,92236.21,135774.64,206142.76,938383.62,1491455.46,0.03772389555635808,0.3331030280984724,0.6291730763451696,0.017020256199446138,-0.0012671230317846671,-3.4052729296324413e-4,144.5156,3001.745603174604,0.029590930777057878,-0.13332854096730173,47.61
AT,2020-07-01,57657.06999999999,64504.73,94893.46,139396.13,211423.9,960138.25,1528013.54,0.0377333501900775,0.33390948878633625,0.6283571610235862,2.5059578242947467e-4,0.0024181287769577953,-0.0012976474232272994,149.2834,3291.8463181818183,0.03245905262819182,0.09225461113166666,47.61
AT,2020-10-01,59815.85999999999,66351.24,95989.85,142313.11,215052.02,996411.36,1575933.44,0.03795582889592088,0.32977675757676667,0.6322674135273124,0.0058787623083098595,-0.012454031249332642,0.006203694777070279,150.1851,3367.3397384615373,0.006022020512946646,0.022674439207349906,47.61
AT,2021-01-01,61223.079999999994,68568.48,99127.18,146120.05,223598.73,1024617.25,1623254.77,0.037716248324962565,0.33107214587147027,0.631211605803567,-0.006332094486197981,0.003920381639599846,-0.0016712710750934057,155.5367,3696.7189841269847,0.035013183290334204,0.09332262768564448,47.61
