REF_AREA,TIME_PERIOD,GDP_PC
EE,2012-10-01,115.792
EE,2013-01-01,108.989
EE,2013-04-01,116.93
EE,2013-07-01,116.141
EE,2013-10-01,116.517
EE,2014-01-01,109.956
EE,2014-04-01,120.298
EE,2014-07-01,119.982
EE,2014-10-01,125.163
EE,2015-01-01,111.231
EE,2015-04-01,124.279
EE,2015-07-01,123.486
EE,2015-10-01,126.064
EE,2016-01-01,117.745
EE,2016-04-01,125.558
EE,2016-07-01,125.496
EE,2016-10-01,130.275
EE,2017-01-01,122.727
EE,2017-04-01,134.272
EE,2017-07-01,130.86
EE,2017-10-01,139.457
EE,2018-01-01,126.668
EE,2018-04-01,137.81
EE,2018-07-01,136.295
EE,2018-10-01,144.587
EE,2019-01-01,131.524
EE,2019-04-01,140.445
EE,2019-07-01,142.338
EE,2019-10-01,148.948
EE,2020-01-01,129.868
EE,2020-04-01,129.523
EE,2020-07-01,139.344
EE,2020-10-01,146.602
EE,2021-01-01,134.983
EE,2021-04-01,146.24
EE,2021-07-01,147.97
EE,2021-10-01,154.642
EE,2022-01-01,140.136
EE,2022-04-01,145.698
EE,2022-07-01,147.466
EE,2022-10-01,150.13
EE,2023-01-01,129.71
EE,2023-04-01,138.607
EE,2023-07-01,139.814
EE,2023-10-01,143.541
EE,2024-01-01,126.728
EE,2024-04-01,137.263
EE,2024-07-01,138.408
EE,2024-10-01,144.311
ES,2000-01-01,89.421
ES,2000-04-01,94.535
ES,2000-07-01,92.207
ES,2000-10-01,98.079
ES,2001-01-01,92.862
ES,2001-04-01,97.622
ES,2001-07-01,95.276
ES,2001-10-01,101.124
ES,2002-01-01,94.233
ES,2002-04-01,99.21
ES,2002-07-01,95.978
ES,2002-10-01,101.786
ES,2003-01-01,95.849
ES,2003-04-01,99.825
ES,2003-07-01,96.901
ES,2003-10-01,102.767
ES,2004-01-01,96.793
ES,2004-04-01,101.535
ES,2004-07-01,98.745
ES,2004-10-01,104.271
ES,2005-01-01,98.05
ES,2005-04-01,103.355
ES,2005-07-01,100.347
ES,2005-10-01,106.195
ES,2006-01-01,101.033
ES,2006-04-01,105.631
ES,2006-07-01,102.463
ES,2006-10-01,108.64
ES,2007-01-01,102.666
ES,2007-04-01,107.261
ES,2007-07-01,103.945
ES,2007-10-01,110.283
ES,2008-01-01,102.963
ES,2008-04-01,107.337
ES,2008-07-01,103.245
ES,2008-10-01,106.956
ES,2009-01-01,97.068
ES,2009-04-01,101.527
ES,2009-07-01,98.88
ES,2009-10-01,103.825
ES,2010-01-01,96.617
ES,2010-04-01,101.321
ES,2010-07-01,98.636
ES,2010-10-01,103.426
ES,2011-01-01,96.536
ES,2011-04-01,100.551
ES,2011-07-01,97.82
ES,2011-10-01,101.059
ES,2012-01-01,94.312
ES,2012-04-01,97.282
