TIME_PERIOD,GINI,THEIL,ASSET,REF_AREA
2012-07-01,0.628618439399855,0.7369460297466478,F2M,DE
2012-10-01,0.6321082746478873,0.7452698691367836,F2M,DE
2013-01-01,0.6347153093037248,0.7514421932927056,F2M,DE
2013-04-01,0.6377686353055811,0.759025910291189,F2M,DE
2013-07-01,0.6402946553392839,0.7656225676960796,F2M,DE
2013-10-01,0.6436640497391855,0.7745622695589708,F2M,DE
2014-01-01,0.6462876848320185,0.7817063758964138,F2M,DE
2014-04-01,0.6488449186781311,0.7886190159674289,F2M,DE
2014-07-01,0.6519051042415529,0.7968398646933084,F2M,DE
2014-10-01,0.6504299290994118,0.793864295622906,F2M,DE
2015-01-01,0.6484587670136109,0.7892410947590139,F2M,DE
2015-04-01,0.6462411417810596,0.7839205577694214,F2M,DE
2015-07-01,0.6438702638365403,0.7787150465181509,F2M,DE
2015-10-01,0.6418316952716249,0.7739864047116674,F2M,DE
2016-01-01,0.63923889649775,0.7684597429220059,F2M,DE
2016-04-01,0.6367518884369553,0.7635319118413681,F2M,DE
2016-07-01,0.6347418066316954,0.7596544144571176,F2M,DE
2016-10-01,0.6332768361581922,0.7576240785843672,F2M,DE
2017-01-01,0.631574995306927,0.7538662031695188,F2M,DE
2017-04-01,0.6294057424728932,0.7504003543199609,F2M,DE
2017-07-01,0.6278765762852787,0.7462058387301584,F2M,DE
2017-10-01,0.6273363954704625,0.7434786104563986,F2M,DE
2018-01-01,0.625883260011792,0.7391657073828142,F2M,DE
2018-04-01,0.6247294517485019,0.7354804225833884,F2M,DE
2018-07-01,0.6233080707352745,0.7314612441559725,F2M,DE
2018-10-01,0.6219524928217175,0.7283273666071923,F2M,DE
2019-01-01,0.6207037819655872,0.724405165326561,F2M,DE
2019-04-01,0.6190439738028408,0.7205055106052383,F2M,DE
2019-07-01,0.6173791585541353,0.7163001186575677,F2M,DE
2019-10-01,0.6163931695127031,0.7138306148508035,F2M,DE
2020-01-01,0.6149033655448184,0.7096572196196946,F2M,DE
2020-04-01,0.6141915802318487,0.7071608954756731,F2M,DE
2020-07-01,0.6120122294633519,0.702712940284714,F2M,DE
2020-10-01,0.6107808445388063,0.6994169895889145,F2M,DE
2021-01-01,0.6105894222187731,0.698309008765386,F2M,DE
2021-04-01,0.6088273540885796,0.6943212449562796,F2M,DE
2021-07-01,0.6058656538918941,0.6886711847713418,F2M,DE
2021-10-01,0.6060105126837816,0.6888028960137544,F2M,DE
2022-01-01,0.604018044882823,0.6847725814616465,F2M,DE
2022-04-01,0.6024358632257081,0.6813911882802544,F2M,DE
2022-07-01,0.6024440072639226,0.6814627786777737,F2M,DE
2022-10-01,0.6019886363636363,0.6810428818136244,F2M,DE
2023-01-01,0.6020983754512637,0.6807099456264525,F2M,DE
2023-04-01,0.6018313378837045,0.6803331377844309,F2M,DE
2023-07-01,0.602225028787935,0.6808331411774747,F2M,DE
2023-10-01,0.60249138712602,0.6809969476069266,F2M,DE
2024-01-01,0.6032024645364664,0.6821904991277691,F2M,DE
2024-04-01,0.603558065654783,0.6828569235618926,F2M,DE
2024-07-01,0.6041466304272075,0.683496352488026,F2M,DE
2013-04-01,0.6201698513800424,0.706782974309433,F2M,EE
2013-07-01,0.6211627082594824,0.708397112771954,F2M,EE
2013-10-01,0.6198329853862213,0.7053116282641403,F2M,EE
2014-01-01,0.6179119754350051,0.7009016950819549,F2M,EE
2014-04-01,0.6193494855625623,0.7038307495168854,F2M,EE
2014-07-01,0.6193537751401254,0.7033825932681358,F2M,EE
2014-10-01,0.6180995475113122,0.7003610841182796,F2M,EE
2015-01-01,0.6164179104477612,0.6970038523667157,F2M,EE
2015-04-01,0.616914498141264,0.6983582195734074,F2M,EE
2015-07-01,0.6192200557103065,0.7028714550845137,F2M,EE
2015-10-01,0.6193587416817907,0.7030886620518183,F2M,EE
2016-01-01,0.6204754829123329,0.7055697191515395,F2M,EE
2016-04-01,0.6201392919326756,0.7049542360192197,F2M,EE
2016-07-01,0.6195947901591896,0.7038447212843579,F2M,EE
2016-10-01,0.6184641445511011,0.7015145174942649,F2M,EE
2017-01-01,0.6184508990318118,0.7017419738641797,F2M,EE
2017-04-01,0.6199571390302706,0.7056598915989982,F2M,EE
2017-07-01,0.6189117097892771,0.7032904292342508,F2M,EE
2017-10-01,0.6170454545454546,0.6987259354387954,F2M,EE
2018-01-01,0.6156822810590632,0.6959217653432992,F2M,EE
2018-04-01,0.6155831265508684,0.6962731176997774,F2M,EE
2018-07-01,0.6161194766724265,0.6971816260708233,F2M,EE
2018-10-01,0.6129731016424661,0.6921733052307425,F2M,EE
2019-01-01,0.6130434782608696,0.6935464572786224,F2M,EE
2019-04-01,0.6138736263736264,0.6944360993776112,F2M,EE
2019-07-01,0.6133363471971067,0.6938097563852214,F2M,EE
2019-10-01,0.6102911758168481,0.6906795556535336,F2M,EE
2020-01-01,0.6144632526248126,0.6983193930260643,F2M,EE
2020-04-01,0.6185169927909371,0.7098725473635881,F2M,EE
2020-07-01,0.6208249090173878,0.7170812079408633,F2M,EE
2020-10-01,0.6197442356132532,0.716296768368426,F2M,EE
2021-01-01,0.6196517873680312,0.7229916407539713,F2M,EE
2021-04-01,0.6204823614110871,0.7274139612613162,F2M,EE
2021-07-01,0.6224543510445797,0.7310237348618985,F2M,EE
2021-10-01,0.6189898654261505,0.7220165926338612,F2M,EE
2022-01-01,0.6173237362996892,0.7179215123833377,F2M,EE
2022-04-01,0.6115590960819379,0.7020410694527294,F2M,EE
2022-07-01,0.612396694214876,0.7022646459444679,F2M,EE
2022-10-01,0.6064636319455694,0.6926957321046773,F2M,EE
2023-01-01,0.6079065300896287,0.6948175573078044,F2M,EE
2023-04-01,0.6050489113284948,0.6885565363332365,F2M,EE
2023-07-01,0.6068252974326862,0.6927287945092475,F2M,EE
2023-10-01,0.6056238475722188,0.6907421273194316,F2M,EE
2024-01-01,0.6118724862207656,0.7015955758796426,F2M,EE
2024-04-01,0.609914356220061,0.6976875356199936,F2M,EE
2024-07-01,0.6124982104509664,0.703100905787288,F2M,EE
2011-10-01,0.6502896106752695,0.7916123057436768,F2M,ES
2012-01-01,0.6521020799527955,0.7971405367603895,F2M,ES
2012-04-01,0.6537818821459983,0.80247430064697,F2M,ES
2012-07-01,0.6547749888608347,0.8058661981443563,F2M,ES
2012-10-01,0.6565780014378145,0.8113394758918356,F2M,ES
2013-01-01,0.6586900684931507,0.8181132497046993,F2M,ES
2013-04-01,0.6595650648895124,0.8205390927903596,F2M,ES
2013-07-01,0.6587881361931054,0.8172705810491337,F2M,ES
2013-10-01,0.6593127629733521,0.8179296411351018,F2M,ES
2014-01-01,0.6595508791751995,0.8184067931413737,F2M,ES
2014-04-01,0.6594460376302721,0.818646488151121,F2M,ES
2014-07-01,0.6590218389992225,0.8178779385383621,F2M,ES
2014-10-01,0.6596821825341022,0.8196979940733347,F2M,ES
2015-01-01,0.6570510072867553,0.8124775025459322,F2M,ES
2015-04-01,0.6556739099559722,0.8082412959687704,F2M,ES
2015-07-01,0.6536536248561565,0.8024024402652192,F2M,ES
2015-10-01,0.6483681228032423,0.7852872428631882,F2M,ES
2016-01-01,0.6463208425879488,0.7804644545765851,F2M,ES
2016-04-01,0.6455315544260907,0.7792889613791721,F2M,ES
2016-07-01,0.6423663302555294,0.7705207752111788,F2M,ES
2016-10-01,0.6404445073612683,0.7663319029415658,F2M,ES
2017-01-01,0.6370808959908689,0.7579970412815207,F2M,ES
2017-04-01,0.634919960334325,0.7526937810913089,F2M,ES
2017-07-01,0.6320943531093639,0.7461405204069212,F2M,ES
2017-10-01,0.6304434337691871,0.7426186927651715,F2M,ES
2018-01-01,0.6308049425041069,0.7426637670095548,F2M,ES
2018-04-01,0.6314249982630447,0.7440507360109169,F2M,ES
2018-07-01,0.6311378509605235,0.7423927088054382,F2M,ES
2018-10-01,0.6321551368450007,0.7453000394335535,F2M,ES
2019-01-01,0.6324641814354588,0.7448961486406113,F2M,ES
2019-04-01,0.6337908281095348,0.7480514694497725,F2M,ES
2019-07-01,0.6333511777301928,0.7454135787924494,F2M,ES
2019-10-01,0.6348840248284874,0.7492381000766375,F2M,ES
2020-01-01,0.6355109961190168,0.7500705001786938,F2M,ES
2020-04-01,0.6369905566600398,0.754242299044909,F2M,ES
2020-07-01,0.6375434243176179,0.7552839236236657,F2M,ES
2020-10-01,0.6393910159782936,0.7600550209214922,F2M,ES
2021-01-01,0.6391829654883665,0.7598325323928556,F2M,ES
2021-04-01,0.6395829662261381,0.7605386333053612,F2M,ES
2021-07-01,0.6388937974907227,0.758420821793478,F2M,ES
2021-10-01,0.6393190998268898,0.759454213729267,F2M,ES
2022-01-01,0.6400421196425523,0.7607090566883886,F2M,ES
2022-04-01,0.6405085879991077,0.7616995341579076,F2M,ES
2022-07-01,0.6405169519973145,0.7614811764650311,F2M,ES
2022-10-01,0.6401913610972845,0.7609963958968289,F2M,ES
2023-01-01,0.6390199637023594,0.7574470891314989,F2M,ES
2023-04-01,0.6386304764050006,0.7566228182588798,F2M,ES
2023-07-01,0.6370877093386319,0.7526638748292444,F2M,ES
2023-10-01,0.637876845918083,0.7547358137769565,F2M,ES
2024-01-01,0.6369574894279991,0.7520771790107177,F2M,ES
2024-04-01,0.6368785876746452,0.7519845743642052,F2M,ES
2024-07-01,0.6348084544253634,0.7470248076587938,F2M,ES
2009-10-01,0.5786971474812868,0.606706162613223,F2M,FI
2010-01-01,0.5795523290986087,0.6086993038237825,F2M,FI
2010-04-01,0.5837707657524821,0.6179559686224125,F2M,FI
2010-07-01,0.5862247388460412,0.6241173869433105,F2M,FI
2010-10-01,0.5903213502431582,0.6332979299243681,F2M,FI
2011-01-01,0.5918918918918918,0.6369298165270632,F2M,FI
2011-04-01,0.5945326278659613,0.643177005483735,F2M,FI
2011-07-01,0.5973866959064328,0.6500067735053519,F2M,FI
2011-10-01,0.6002869955156951,0.6570170861644917,F2M,FI
2012-01-01,0.6008491418247517,0.6591089396268061,F2M,FI
2012-04-01,0.6031319315056339,0.6646809035043049,F2M,FI
2012-07-01,0.6047288888888889,0.6681554745533653,F2M,FI
2012-10-01,0.606028209504986,0.6716201805412203,F2M,FI
2013-01-01,0.608215603347431,0.6779858170406569,F2M,FI
2013-04-01,0.6098962061560487,0.682370445259516,F2M,FI
2013-07-01,0.6115924952415481,0.6865960734180397,F2M,FI
2013-10-01,0.6135515282661618,0.6929974856442531,F2M,FI
2014-01-01,0.6137080689029918,0.6922923949306674,F2M,FI
2014-04-01,0.6134693144038099,0.6913736376407362,F2M,FI
2014-07-01,0.6131638469193884,0.6902482694557511,F2M,FI
2014-10-01,0.6130151843817788,0.689785473708993,F2M,FI
2015-01-01,0.6128214481123473,0.6888641538841542,F2M,FI
2015-04-01,0.6131149004553165,0.689972023537022,F2M,FI
2015-07-01,0.6127724734282112,0.6888249829364126,F2M,FI
2015-10-01,0.613302507558243,0.6909163572786108,F2M,FI
2016-01-01,0.6126310179427963,0.689039132118405,F2M,FI
2016-04-01,0.6131569847856155,0.690254413820288,F2M,FI
2016-07-01,0.6135139814734656,0.6913395049786482,F2M,FI
2016-10-01,0.6142101671784375,0.6933328260745047,F2M,FI
2017-01-01,0.6141547861507128,0.6931342697755886,F2M,FI
2017-04-01,0.6141787941787942,0.6928984593863776,F2M,FI
2017-07-01,0.6143805493320056,0.6937468771012077,F2M,FI
2017-10-01,0.6145584725536993,0.694290631009828,F2M,FI
2018-01-01,0.6144971630622482,0.6940216218923446,F2M,FI
2018-04-01,0.6148379852422201,0.6947560877940637,F2M,FI
2018-07-01,0.6149544655695798,0.6948667780439244,F2M,FI
2018-10-01,0.6157156368221942,0.6972617319916379,F2M,FI
2019-01-01,0.6153899560286971,0.6968898821525397,F2M,FI
2019-04-01,0.6155568916278371,0.6981510319610738,F2M,FI
2019-07-01,0.6158408408408409,0.6993459202574476,F2M,FI
2019-10-01,0.6156451371197362,0.6992681390519012,F2M,FI
2020-01-01,0.616593438781488,0.7013302655710281,F2M,FI
2020-04-01,0.6177116318344944,0.7044769422942123,F2M,FI
2020-07-01,0.6188346045488903,0.7080983001011648,F2M,FI
2020-10-01,0.6181725056340914,0.7060389021234579,F2M,FI
2021-01-01,0.6186195718241372,0.7059338283097503,F2M,FI
2021-04-01,0.6190885809967824,0.7077161677762066,F2M,FI
2021-07-01,0.6189866873465167,0.7083516459635688,F2M,FI
2021-10-01,0.6191895577634912,0.7088130622495218,F2M,FI
2022-01-01,0.6189688341669873,0.7071397353552377,F2M,FI
2022-04-01,0.6179952147084751,0.7040603889356,F2M,FI
2022-07-01,0.6175732480080306,0.7030529621565721,F2M,FI
